City,Population,State,Latitude,Longitude,Cost of Living,min_distance,pop_norm,col_norm,dist_norm,cost_score,prox_score,demand_score,final_score
Kolkata,4496694,West Bengal,22.9964948,87.6855882,132.4,320.6738471221851,0.3561483148693206,0.4142857142857143,0.5543314984682255,0.5857142857142856,0.4456685015317745,0.3561483148693206,0.4289175650370498
Panchkula,211355,Haryana,29.0,76.0,129.8,0.0,0.008900114116909,0.3857142857142859,0.0,0.6142857142857141,1.0,0.008900114116909,0.4273071999155974
Agra,1585704,Uttar Pradesh,27.1303344,80.859666,96.8,247.24807907914445,0.1202659167887341,0.0230769230769229,0.4274043530500633,0.976923076923077,0.5725956469499367,0.1202659167887341,0.4272962678639634
Ramagundam,229644,Telangana,17.8495919,79.1151663,104.7,108.00781979973844,0.0103821024365171,0.1098901098901099,0.1867072638856708,0.8901098901098901,0.8132927361143292,0.0103821024365171,0.4272008500745353
Bathinda,285813,Punjab,30.9293211,75.5004841,109.2,97.4579834015409,0.0149335706372971,0.1593406593406594,0.1684703335226556,0.8406593406593406,0.8315296664773444,0.0149335706372971,0.42505755339372
"Hubliâ€""Dharwad",943857,Karnataka,14.5203896,75.7223521,98.6,196.2036834718282,0.0682559787398812,0.0428571428571427,0.3391666730542039,0.9571428571428572,0.660833326945796,0.0682559787398812,0.4238065588822509
Miryalaguda,109891,Telangana,17.8495919,79.1151663,104.6,108.00781979973844,0.0006783161585345,0.1087912087912088,0.1867072638856708,0.8912087912087912,0.8132927361143292,0.0006783161585345,0.4225687371553243
Suryapet,105250,Telangana,17.8495919,79.1151663,104.8,108.00781979973844,0.0003022481509179,0.110989010989011,0.1867072638856708,0.889010989010989,0.8132927361143292,0.0003022481509179,0.4219411427119555
Panvel,180020,Maharashtra,18.9068356,75.6741579,133.7,0.0,0.0063609865541709,0.4285714285714284,0.0,0.5714285714285716,1.0,0.0063609865541709,0.4174662075627998
Navi Mumbai,1120547,Maharashtra,18.9068356,75.6741579,152.4,0.0,0.082573465545696,0.6340659340659343,0.0,0.3659340659340657,1.0,0.082573465545696,0.4144735459596612
